cross-validation:early fusion
Epoch 4/32, Train Loss: 0.0216, Dev Acc: 0.2188, Dev AUC: 0.4444, Test Acc: 0.1875, Test AUC: 0.4872, Best Thresh: 0.44
Epoch 5/32, Train Loss: 0.0208, Dev Acc: 0.6250, Dev AUC: 0.5556, Test Acc: 0.6562, Test AUC: 0.5064, Best Thresh: 0.48
Epoch 6/32, Train Loss: 0.0204, Dev Acc: 0.4688, Dev AUC: 0.4963, Test Acc: 0.4375, Test AUC: 0.5064, Best Thresh: 0.44
Epoch 7/32, Train Loss: 0.0200, Dev Acc: 0.2188, Dev AUC: 0.3704, Test Acc: 0.1875, Test AUC: 0.5449, Best Thresh: 0.36
Epoch 8/32, Train Loss: 0.0189, Dev Acc: 0.3125, Dev AUC: 0.3556, Test Acc: 0.2188, Test AUC: 0.6026, Best Thresh: 0.38
Epoch 9/32, Train Loss: 0.0193, Dev Acc: 0.2500, Dev AUC: 0.2889, Test Acc: 0.1875, Test AUC: 0.4872, Best Thresh: 0.34
Epoch 10/32, Train Loss: 0.0185, Dev Acc: 0.2188, Dev AUC: 0.3333, Test Acc: 0.1875, Test AUC: 0.4615, Best Thresh: 0.32
Epoch 1/32, Train Loss: 0.0224, Dev Acc: 0.2500, Dev AUC: 0.4792, Test Acc: 0.1875, Test AUC: 0.3526, Best Thresh: 0.10
Epoch 2/32, Train Loss: 0.0222, Dev Acc: 0.2812, Dev AUC: 0.5000, Test Acc: 0.2500, Test AUC: 0.5321, Best Thresh: 0.46
Epoch 3/32, Train Loss: 0.0217, Dev Acc: 0.2812, Dev AUC: 0.5469, Test Acc: 0.1875, Test AUC: 0.4359, Best Thresh: 0.42
Epoch 4/32, Train Loss: 0.0204, Dev Acc: 0.3750, Dev AUC: 0.5990, Test Acc: 0.2188, Test AUC: 0.4295, Best Thresh: 0.42
Epoch 5/32, Train Loss: 0.0203, Dev Acc: 0.7812, Dev AUC: 0.6302, Test Acc: 0.6562, Test AUC: 0.4423, Best Thresh: 0.46
Epoch 6/32, Train Loss: 0.0192, Dev Acc: 0.2812, Dev AUC: 0.5365, Test Acc: 0.1562, Test AUC: 0.4103, Best Thresh: 0.38
